f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26
141.0953776	129.0014772	10	2	1	0.5	7.476723586	2.971125758	1.672952222	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	0	26.02
141.1153641	125.9979886	10	2	1	0.75	7.605263158	3.06	1.507134364	0	0	0	1	0	1	1	0	1	2	2	1	0	1	0	1	35.25
141.1517496	122.003074	10	1	2	1	8.060401606	3.380057918	1.722932883	0	0	0	3	0	1	1	0	1	1	2	1	0	1	0	3	26.02
143.0546557	135.9998804	10	3	1	0.142857143	7.150619469	2.748833236	1.510397832	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
109.0891494	98.003074	8	1	0	0.428571429	5.574408602	2.138649813	1.203430049	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
156.0090405	150.9699153	10	4	1	0.166666667	7.130864745	2.735518506	1.294297366	0	1	0	1	0	0	0	1	0	3	2	1	0	0	0	1	62.95
156.0090405	150.9699153	10	4	1	0.166666667	7.130864745	2.735518506	1.294297366	0	1	0	1	0	0	0	1	0	3	2	1	0	0	0	1	62.95
190.9404323	184.8934821	8	3	1	0.2	6.262850123	2.617936113	1.307146389	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
147.1047994	134.003074	11	1	3	0.4	6.863561561	2.346347075	1.286454303	0	0	0	1	0	0	2	0	2	1	1	2	0	0	0	0	12.03
126.1156984	112.006148	9	2	2	0.857142857	6.745874855	2.479660165	1.516123665	0	0	0	1	0	0	0	0	1	2	2	1	0	0	0	1	38.38
175.022248	164.9439977	10	3	1	0.428571429	8.050502513	2.530899543	1.718123399	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
184.9840114	176.9214111	9	2	1	0.142857143	6.775473441	2.989942377	1.804947321	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
157.0658271	144.9719267	10	2	1	0.5	7.832774923	2.767146529	1.613630629	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
